Disease,Analysis,Gene Name,P-value,LogFC,Direction,Pathway,Drug_ID
Breast Cancer,RNA-Seq Differential Expression,PCSK5,4.94018427451728e-10,-8.56206195017117,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL4785628
Breast Cancer,RNA-Seq Differential Expression,SCN8A,1.21425049857843e-05,-7.09410363379161,Downregulated,nervous system development (GO:0007399),CHEMBL1917113
Breast Cancer,RNA-Seq Differential Expression,SCN8A,1.21425049857843e-05,-7.09410363379161,Downregulated,nervous system development (GO:0007399),CHEMBL1917112
Breast Cancer,RNA-Seq Differential Expression,SCN8A,1.21425049857843e-05,-7.09410363379161,Downregulated,nervous system development (GO:0007399),CHEMBL1917257
Breast Cancer,RNA-Seq Differential Expression,SCN8A,1.21425049857843e-05,-7.09410363379161,Downregulated,nervous system development (GO:0007399),CHEMBL1917109
Breast Cancer,RNA-Seq Differential Expression,SCN8A,1.21425049857843e-05,-7.09410363379161,Downregulated,nervous system development (GO:0007399),CHEMBL3617066
Breast Cancer,RNA-Seq Differential Expression,SCN8A,1.21425049857843e-05,-7.09410363379161,Downregulated,nervous system development (GO:0007399),CHEMBL507974
Breast Cancer,RNA-Seq Differential Expression,SCN8A,1.21425049857843e-05,-7.09410363379161,Downregulated,nervous system development (GO:0007399),CHEMBL5091679
Breast Cancer,RNA-Seq Differential Expression,SCN8A,1.21425049857843e-05,-7.09410363379161,Downregulated,nervous system development (GO:0007399),CHEMBL5083412
Breast Cancer,RNA-Seq Differential Expression,SCN8A,1.21425049857843e-05,-7.09410363379161,Downregulated,nervous system development (GO:0007399),CHEMBL5091623
Breast Cancer,RNA-Seq Differential Expression,SCN8A,1.21425049857843e-05,-7.09410363379161,Downregulated,nervous system development (GO:0007399),CHEMBL5077579
Breast Cancer,RNA-Seq Differential Expression,SCN8A,1.21425049857843e-05,-7.09410363379161,Downregulated,nervous system development (GO:0007399),CHEMBL5093878
Breast Cancer,RNA-Seq Differential Expression,SCN8A,1.21425049857843e-05,-7.09410363379161,Downregulated,nervous system development (GO:0007399),CHEMBL5082582
Breast Cancer,RNA-Seq Differential Expression,SCN8A,1.21425049857843e-05,-7.09410363379161,Downregulated,nervous system development (GO:0007399),CHEMBL5084333
Breast Cancer,RNA-Seq Differential Expression,SCN8A,1.21425049857843e-05,-7.09410363379161,Downregulated,nervous system development (GO:0007399),CHEMBL5190671
Breast Cancer,RNA-Seq Differential Expression,SCN8A,1.21425049857843e-05,-7.09410363379161,Downregulated,nervous system development (GO:0007399),CHEMBL5630077
Breast Cancer,RNA-Seq Differential Expression,SCN8A,1.21425049857843e-05,-7.09410363379161,Downregulated,nervous system development (GO:0007399),CHEMBL5631122
Breast Cancer,RNA-Seq Differential Expression,SCN8A,1.21425049857843e-05,-7.09410363379161,Downregulated,nervous system development (GO:0007399),CHEMBL5625112
Breast Cancer,RNA-Seq Differential Expression,SCN8A,1.21425049857843e-05,-7.09410363379161,Downregulated,nervous system development (GO:0007399),CHEMBL5625110
Breast Cancer,RNA-Seq Differential Expression,PTGIS,1.27878388774104e-154,-5.3927135622887,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL34574
Breast Cancer,RNA-Seq Differential Expression,PTGIS,1.27878388774104e-154,-5.3927135622887,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL34041
Breast Cancer,RNA-Seq Differential Expression,PTGIS,1.27878388774104e-154,-5.3927135622887,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL47164
Breast Cancer,RNA-Seq Differential Expression,PTGIS,1.27878388774104e-154,-5.3927135622887,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL284827
Breast Cancer,RNA-Seq Differential Expression,PTGIS,1.27878388774104e-154,-5.3927135622887,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL33690
Breast Cancer,RNA-Seq Differential Expression,PTGIS,1.27878388774104e-154,-5.3927135622887,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL267473
Breast Cancer,RNA-Seq Differential Expression,PTGIS,1.27878388774104e-154,-5.3927135622887,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL30395
Breast Cancer,RNA-Seq Differential Expression,PTGIS,1.27878388774104e-154,-5.3927135622887,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL284356
Breast Cancer,RNA-Seq Differential Expression,PTGIS,1.27878388774104e-154,-5.3927135622887,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL557333
Breast Cancer,RNA-Seq Differential Expression,PTGIS,1.27878388774104e-154,-5.3927135622887,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL33407
Breast Cancer,RNA-Seq Differential Expression,PTGIS,1.27878388774104e-154,-5.3927135622887,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL286308
