Gene,Log2FC,P-Value,Direction,Pathway,Drug_ID,Target_ID
PCSK5,-8.56206195017117,4.94018427451728e-10,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL499438,CHEMBL2826
PCSK5,-8.56206195017117,4.94018427451728e-10,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL500184,CHEMBL2826
PCSK5,-8.56206195017117,4.94018427451728e-10,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL503520,CHEMBL2826
PCSK5,-8.56206195017117,4.94018427451728e-10,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL566340,CHEMBL2826
PCSK5,-8.56206195017117,4.94018427451728e-10,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL569918,CHEMBL2826
PCSK5,-8.56206195017117,4.94018427451728e-10,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL568525,CHEMBL2826
PCSK5,-8.56206195017117,4.94018427451728e-10,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL569280,CHEMBL2826
PCSK5,-8.56206195017117,4.94018427451728e-10,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL568067,CHEMBL2826
PCSK5,-8.56206195017117,4.94018427451728e-10,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL3126388,CHEMBL2826
PCSK5,-8.56206195017117,4.94018427451728e-10,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL3126396,CHEMBL2826
PCSK5,-8.56206195017117,4.94018427451728e-10,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL4752382,CHEMBL2826
PCSK5,-8.56206195017117,4.94018427451728e-10,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL4793978,CHEMBL2826
PCSK5,-8.56206195017117,4.94018427451728e-10,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706),CHEMBL4785628,CHEMBL2826
SCN8A,-7.09410363379161,1.21425049857843e-05,Downregulated,nervous system development (GO:0007399),CHEMBL1917113,CHEMBL1914275
SCN8A,-7.09410363379161,1.21425049857843e-05,Downregulated,nervous system development (GO:0007399),CHEMBL1917112,CHEMBL1914275
SCN8A,-7.09410363379161,1.21425049857843e-05,Downregulated,nervous system development (GO:0007399),CHEMBL1917257,CHEMBL1914275
SCN8A,-7.09410363379161,1.21425049857843e-05,Downregulated,nervous system development (GO:0007399),CHEMBL1917109,CHEMBL1914275
SCN8A,-7.09410363379161,1.21425049857843e-05,Downregulated,nervous system development (GO:0007399),CHEMBL3617066,CHEMBL1914275
SCN8A,-7.09410363379161,1.21425049857843e-05,Downregulated,nervous system development (GO:0007399),CHEMBL507974,CHEMBL1914275
SCN8A,-7.09410363379161,1.21425049857843e-05,Downregulated,nervous system development (GO:0007399),CHEMBL5091679,CHEMBL1914275
SCN8A,-7.09410363379161,1.21425049857843e-05,Downregulated,nervous system development (GO:0007399),CHEMBL5083412,CHEMBL1914275
SCN8A,-7.09410363379161,1.21425049857843e-05,Downregulated,nervous system development (GO:0007399),CHEMBL5091623,CHEMBL1914275
SCN8A,-7.09410363379161,1.21425049857843e-05,Downregulated,nervous system development (GO:0007399),CHEMBL5077579,CHEMBL1914275
SCN8A,-7.09410363379161,1.21425049857843e-05,Downregulated,nervous system development (GO:0007399),CHEMBL5093878,CHEMBL1914275
SCN8A,-7.09410363379161,1.21425049857843e-05,Downregulated,nervous system development (GO:0007399),CHEMBL5082582,CHEMBL1914275
SCN8A,-7.09410363379161,1.21425049857843e-05,Downregulated,nervous system development (GO:0007399),CHEMBL5084333,CHEMBL1914275
SCN8A,-7.09410363379161,1.21425049857843e-05,Downregulated,nervous system development (GO:0007399),CHEMBL5190671,CHEMBL1914275
SCN8A,-7.09410363379161,1.21425049857843e-05,Downregulated,nervous system development (GO:0007399),CHEMBL5630077,CHEMBL1914275
SCN8A,-7.09410363379161,1.21425049857843e-05,Downregulated,nervous system development (GO:0007399),CHEMBL5631122,CHEMBL1914275
SCN8A,-7.09410363379161,1.21425049857843e-05,Downregulated,nervous system development (GO:0007399),CHEMBL5625112,CHEMBL1914275
SCN8A,-7.09410363379161,1.21425049857843e-05,Downregulated,nervous system development (GO:0007399),CHEMBL5625110,CHEMBL1914275
PTGIS,-5.3927135622887,1.27878388774104e-154,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL34574,CHEMBL4428
